Time;Temperature
(s);(C)

0;-169
23;-168
27;-167
31;-166
35;-165
38;-164
41;-163
43;-162
45;-161
48;-160
51;-159
54;-158
57;-157
60;-156
63;-155
66;-154
68;-153
71;-152
73;-151
76;-150
79;-149
82;-148
85;-147
88;-146
92;-145
95;-144
98;-143
101;-142
104;-141
108;-140
112;-139
115;-138
119;-137
123;-136
126;-135
130;-134
133;-133
138;-132
142;-131
146;-130
151;-129
154;-128
158;-127
163;-126
168;-125
172;-124
177;-123
182;-122
185;-121
190;-120
195;-119
200;-118
205;-117
209;-116
214;-115
218;-114
223;-113
228;-112
233;-111
237;-110
242;-109
247;-108
252;-107
257;-106
263;-105
267;-104
273;-103
278;-102
284;-101
290;-100
297;-99
302;-98
309;-97
315;-96
322;-95
328;-94
335;-93
342;-92
349;-91
355;-90
362;-89
369;-88
376;-87
383;-86
391;-85
398;-84
405;-83
413;-82
421;-81
429;-80
436;-79
445;-78
453;-77
461;-76
470;-75
479;-74
488;-73
497;-72
506;-71
515;-70
524;-69
534;-68
543;-67
553;-66
563;-65
573;-64
583;-63
593;-62
602;-61
613;-60
623;-59
634;-58
644;-57
655;-56
665;-55
674;-54
683;-53
692;-52
701;-51
709;-50
722;-49
730;-48
740;-47
748;-46
758;-45
768;-44
776;-43
786;-42
797;-41
806;-40
817;-38.9
827;-38
837;-37
848;-36
860;-35
870;-34
881;-33
891;-32
903;-31
914;-30
959;-26
972;-25
985;-24
998;-23
1011;-22
1025;-21
1038;-20
1052;-19
1067;-18
1082;-17
1097;-16
1112;-15
1129;-14
1146;-13
1162;-12
1181;-11
1198;-10
1217;-9
1235;-8
1255;-7
1275;-6
1296;-5
1318;-4
1340;-3
1362;-2
1387;-1
1413;0
1462;1
1492;2
1510;3
1524;4
1540;5
1556;6
1568;6.7


